产科	Obstetrics
胃肠动力检查室	Gastrointestinal Motility Testing
饮水处	Drinking Water
南台	South Platform
方便面	Instant Noodles
一楼	Stall
斜坡地带	请勿靠近 Keep Away from Slope!
维修站	Service Station
行包托运部	Luggage Freight Department
友好林	Friendship Forest
卫士队宿舍	Security Guards’ Dorm
中医特级专家门诊	TCM Senior Specialist Clinic
团购服务中心	Group-Purchase Service Center
经颅多谱勒室	Transcranial Doppler Ultrasonography (TCD)
彩弹野战俱乐部	Paintball War Game Club
观鹿园	Deer Park
盆底康复重建外科	Pelvic Floor Recovery/Restoration Surgery
儿童游乐场/儿童乐园	Children’s Playground
食品加工机	Food Processor
第三卫生间	Unisex Toilets
南越国水关遗址	Archaeological Site of the Palace of Nanyue Kingdom (204 B.C.–112B.C.)
办公室	Office
国际划船中心	International Rowing Center
旅客服务中心	Passenger Service Center
行包安全检查	Baggage Security Check
电器城	Home Appliances Center
汽车用品	Automobile Products
建筑	Architecture
文字记者席	Press
黄金	Gold
广州市青年文化宫	Guangzhou Youth Cultural Palace
扎染治疗室	Tie-Dying Therapy
药氧治疗室	Herbal-Oxygen Treatment
电影录音	Film Recording
宿舍区	Staff Dormitories
出入口	EXIT/ENTRANCE
广州白云机场	Guanzhou Baiyun International Airport
应急电源，不对外使用	Emergency Power Only!
别墅	Villa
码头游乐中心	Pier Recreation Center
体育	Sports
服务部	Services
科学	Science
放射卫生防护所	Institute for Radiation Hygiene & Protection
生化遗传室	Biochemical Genetics Lab
特色乡村旅游点	Rural Scenic Spot
省总码头	Guangdong Provincial Federation of Trade Unions Wharf
巧克力	Chocolates
体育中心站	Sports Center Station
注意安全,小心滑倒及夹伤	Safety First! Mind Your Step!
书报亭/报刊亭	Kiosk
电视评论席	TV Commentators
广州市第二少年宫	Guangzhou Second Children’s Palace
儿童体检室	Child Physical Examination
民航驻场办	Office of Civil Aviation Authorities
急诊抢救室	Emergency
热水器	Water Heater
工作间	Office
请勿动	紧急时用 Emergency Use Only
流行服饰	Fashion
青春期教育室	Adolescent Education
财务室	Accounting
总经理办公室	General Manager
烧伤专家门诊	Burn Specialist Clinic
烟机灶具	Kitchen Ventilation & Cooking Stove
矫形骨科门诊	Orthopaedic Clinic
请您稍候	Please Wait
纸制品	Paper Products
自动报纸机	Newspaper Vending Machine
请勿把头手伸出窗外	Do Not Put Your Head or Hands Out of the Window
脂肪肝诊室	Fatty Liver Consultation
通谒室、收发室	Mail Room
无抽恢复室	Non-convulsive Recovery
医疗器械科	Medical Devices Section
剧场西门	West Gate
广州起义纪念馆	Guangzhou Uprising Memorial Hall
内科分诊处	Internal Medicine Reception
复印、取病案处	Copying & Medical Records Pickup
急救站	First Aid Station
寺	Monastery/Temple
医学美容室	Medical Cosmetology
clinic	769 骨关节病治疗中心 Osteoarthropathy Center
车库	Garage
足金项链	24K Gold Necklace
医院中心血库	Hospital Blood Bank
急诊收费	Emergency Cashier
安全保卫部	Security
庭长室	Chief Judge’s Office
洗浴中心	Bath Center
服饰美容	Fashion & Beauty
婚姻、恋爱、家庭咨询	Marriage, Love, and Family Counseling
呼吸内科（呼吸科）	Respiratory Medicine
病理诊断室	Pathological Diagnosis
循环组阅片室	Cardiovascular Radiology
童装、家居用品采购部	Children’s Wear & Household Purchase
摄影室	Photograph Studio
文学类	Literature
一楼旅客通道	F1 Passenger Exit
组织宣传部	Organization & Public Communication
男士正装/男士西装/绅士正装	Men’s Suit
副主任室	Deputy Director’s Office
养殖场	Farm
科技园区	Sci-tech Park/Science Park
民间金融街	Private Financial Street
ab	型血液告急 Group AB Blood Donors Needed
保健	Healthcare
力学	Dynamics
脱髓鞘疾病门诊	Demyelinating Diseases Clinic
美发沙龙	Hairdressing Salon
心血管外科门诊	Cardiovascular Surgery Clinic
青春期门诊	Adolescent Clinic
员工活动室	Gym
浅水区	Shallow Water
质控科	Quality Control
婴儿食品	Baby Food
二楼旅客通道	F2 Passenger Exit
中医耳鼻喉科	TCM E.N.T.
不孕症门诊	Infertility Clinic
翡翠精品	Exquisite Jade Carvings
本市观众	Local Visitors
化学危险品	Hazardous Chemical Substances
矫形器制作室	Orthotic Device Making
贵宾席	VIP
胃镜室	Gastroscopy
儿童玩具	Children’s Toys
半成品	Semi-finished Products
母婴候车室	Mother and Child Waiting Room
污染区	Contaminated Zone
公众区	Public
最大承载量	5493 人 Maximum Daily Visitor Capacity: 5,493
血液工程科	Blood Engineering
试管婴儿手术室	Test-Tube Baby Operating
西门	West Gate
应急通道，游客止步	Emergency Access Only
公共仓库	Public Warehouse
网络维护室	Network Maintenance
看台区	Audience
文胸	Bras
儿童票价	Child Price
友好广场	Friendship Square
商务休闲	Business & Leisure
cd	专区 CDs
轮渡	Ferry
古籍书店	Antiquarian Book Store
珠宝化妆休闲采购部	Jewelry & Cosmetics Purchase
保健食品	Healthy Food
早期育儿教育门诊	Early Childhood Education Clinic
口腔种植中心	Oral Implantology Center
餐厅	Dining Hall/Room
教学楼	Academic Building
评标直播厅	Hall of Live Coverage of Tender Evaluation
国际精品皮具/精品皮具	Luxury Leather Goods
鸦片战争博物馆	Opium War Museum
景点/设施维修，禁止入内	Maintenance in Progress, No Entry.
cr	摄片室 Computer Radiography (CR)
传染病控制所	Institute for Infectious Diseases Control
《大本营公报》编辑室	Editorial Office of the Official Gazette
ct	控制室 CT Control
北区急救分中心	North District First Aid Branch
旅游问询中心	Tourist Information Center
桑拿浴房	Sauna
电镜室	Electron Microscopy
外科抢救室/外科急诊室	Emergency Surgery
水利	Water Conservation
二楼	Balcony
零担货运	LTL (Less-Than-Truckload) Shipping
信息统计中心	Information Statistics Center
重症监护室/icu	ICU
枢纽东北大厅	Bus Hub Northeast Hall
玉件	Jade Products
一排、二排……二十排	Row 1, Row 2 … Row 20
书画治疗室	Painting & Calligraphy Therapy
dj	室 DJ
隔离门诊	Isolation Clinic
便民箱	Complaints & Comments Box
散文	Prose
广州市汽车客运站	Guangzhou Intercity Bus Terminal
管理	Management
五金灯具	Hardware & Lamps
织物	Textiles
dr	摄片室 Digital Radiography (DR)
安保器材	Safety Equipment
演员专用通道	Performers Only
体育保健用品	Sports & Healthcare Products
血液采集区/室	Blood Donation
中医妇科	TCM Gynecology
摄录像机	Video Camera
检录处	Call Area
亭、阁	Pavilion
图书音像	Books, Audio & Video Products
代理人	Agent
场地管理部	Site Management
烧伤急诊	Burn Emergency
餐饮广场	Food Court
主题公园	Special Theme Park
宗教	Religion
导览册	Guide Book
老幼病残孕专座	Priority Seats/Seats for Those in Need
木屋休憩区	Chalet Recreation Area
弱电竖井	Vertical Duct for Low Voltage
心理	Psychology
医用废弃物、垃圾处理站	Biohazardous Waste Disposal
老字号一条街	Time-honored Shops Street
形象设计中心	Image Design Center
电子	Electronics
救生衣放在座位下面	Life Jacket Under Seat
口腔技工室/口腔科技工室	Dental Technician Office
便利店	Convenience Store
展览厅	Exhibition Hall
外科手术室	Surgical Operating Room
鉴定诊室	1 Authentication Consultation Room 1
浴室	Shower Room
下午五点	5:00 PM/pm
管理处	Administration
刷手间	Scrub Room
投诉电话：86433246	12319 Complaint Hotline: 86433246 12319
水深危险	请勿戏水 Deep Water! No Paddling!
心脏彩超/血管超声	Color Doppler Sonography/Vascular Ultrasonography
取镜修理	Collection & Repairs Counter
儿童救生衣放在座位下面	Children’s Life Jacket Under Seat
骨科复查照相室	Orthopaedic Reexamination & Radiology
停车场	Parking Lot
无障碍电梯	Wheelchair Accessible
医疗示教室	Medical Demonstration Classroom
感染一科	Infection Dept.1/Communicable Diseases Dept.1
隔离卫生间	Isolation Toilets
歌舞厅	Dance Hall
男女鞋帽采购部	Shoes & Hats Purchase
就餐卡办理处	Meal Card Service
临床生化室	Clinical Biochemistry
大小马站书院群	Damazhan & Xiaomazhan Academy Clusters
民间收藏文物	Private Collection of Cultural Heritage
快餐厅	Snack Bar/Fast Food
医务室	Clinic
实业类	Industry & Commerce
工业	Industry
设施损坏	暂停使用 Temporarily Out of Order
整形外科门诊	Plastic Surgery Clinic
学术报告厅	Academic Hall
专题展区	Special Theme Display
平安景区	Safe Scenic Area
速冻食品	Frozen Food
书店	Bookstore
总经理室	General Manager’s Office
鞋帽精品	Designer Shoes & Hats
酒吧	Bar/Pub
名录/名人录	Directories/Who’s Who
快速检测处	Urgent Testing
应急车道	Emergency Lane
举报信箱/意见箱	Suggestions & Complaints Box
船未靠泊定，请勿上落	Please Do Not Embark or Disembark Before the Vessel Has Berthed Securely
空调机房	Air Conditioning Control Room
拍卖大厅	Auction Hall
玻璃陶瓷	Glassware & Ceramics
质量控制	Quality Control
仓储式会员店	Membership Store
不要将杂物丢入便池。	Do not litter in toilets.
等候室/候诊室/候诊厅	Waiting Room
消防中控室	Central Fire Control Room
配电箱	Power Distribution Box
ic	卡查询机 IC Card Machine
工程类	Engineering
皮肤病门诊/皮肤科普通门诊	Dermatology Clinic
大剧院	Opera House
信息产业基地	Information Technology Industry Base
房颤门诊	Atrial Fibrillation Clinic
出租汽车上下站	Taxi Stand
眼底荧光造影室	Fluorescein Eyeground Angiography
百货商场	Department Store
眼镜店	Optical Shop
千足金项坠	99.9% Gold Pendant
康复治疗室	Rehabilitation
会诊中心	Consultation Center
触摸屏	Touchscreen
艺疗厅	Art Therapy
配电室	Electricity Distribution
农家院	Farm House
立交	Interchange
超声科	Ultrasonography Dept./Ultrasonography
交车处	Car Return
图书库	Library
旺季开放时间	Opening Hours in Peak Seasons
消闲散步	Strolling
外埠观众	Non-Local Visitors
无偿献血屋	Voluntary Blood Donation Station
登船口	Boarding Gate
剧团/艺术团	Art Troupe
门票价格	Ticket Rates
开发票处	Invoice Counter
男诊室	Male Consultation Room
新品推荐/新品上架	New Arrivals
垂钓	Angling
血液研究所	Blood Research Institute
食品店	Food Store
三级文物	Class Three Cultural Heritage
微波炉	Microwave Oven
心理测量室	Psychometric Room
门诊治疗室	Outpatient Treatment
请勿攀爬栏杆	No Climbing over Railing
药疗室	Curative Treatment
文化用品/学习用具	Stationery
办公用品	Office Supplies
警卫室	Guard Room
外宾诊室	Foreign Patients
应急电话	110 报警 Call Police in Emergency: 110
儿科观察室	Pediatric Observation
工具书类	References
产后复查室	Postpartum Examination
其他图书	Miscellaneous
行包托运须知	Baggage Check Notice
软件	Software
真菌室	Mycology Lab
ld	激光视盘 Laser Discs
运动休闲	Sports & Casual Wear
人行天桥	Pedestrian Overpass
南门	South Gate
箱包	Bags & Suitcases
女更衣室	Women’s Locker Room
口腔修复科	Prosthodontics
口腔图像分析室	Image Analysis
琶洲广交会展馆	China Import and Export Fair (Pazhou) Complex
可移动文物	Movable Cultural Heritage
观众	Audience
足金手链	24K Gold Bracelet
放射科	Radiology
毛巾	Towels
副食调料	Non-staple Food & Seasonings
客轮码头	Ferry Terminal
文明旅游，从我做起	Be A Polite Visitor
历史名园	Historical Garden
社会	Sociology
行李手推车	Baggage Cart
奥林匹克体育中心	Olympic Center Stadium
羊绒毛衫	Cashmere & Wool Sweaters
医疗器械	Medical Equipment
杂粮	Miscellaneous Grains
广府学宫	Guangzhou Prefecture College
出租车	Taxi
矫形骨科病房	Orthopaedic Ward
推荐商品	Recommendations
综合执法队	Enforcement Team of Municipal Laws
物理治疗室	Physical Therapy
闭路电视监视区域	CCTV in Operation
标本室	Specimen Room
执法一队	Law Enforcement Team 1
取包处	Baggage Claim
广州市消防局旧址	Former Site of Guangzhou Municipal Fire Department
腔镜科	Endoscopy
多排	CT Multidetector CT
月牙湖	Crescent Moon Lake
译作	Translated Works
救生衣	Life Jacket
石窟寺	Grotto/Cave Temple
生殖医学门诊	Reproductive Medicine Clinic
儿童公园	Children’s Park
集体外借部	Book Borrowing for Groups
时尚皮服	Fashion Leatherwear
小卖部	Shop
电池	Battery
博物馆展厅	Museum Exhibition Hall
理发室	Barbershop
文物	Cultural Heritage
补票处	Pay Upon Arrival
蚬壳码头	xianke Wharf
太平间	Morgue
租船处	Boat Rental Service
神经内科门诊	Neurology Clinic
精液处置室	Semen Treatment
楼遗址	Tower Ruins
风机房	Ventilator Room
篮球场	Basketball Court
悬崖危险	请勿跨越 Dangerous! Stay Away!
推进机舱	Propulsion Room
中医乳肝门诊	TCM Infant Hepatitis Syndrome (IHS) Clinic
爱护展品，请勿触摸	Please Do Not Touch Exhibits
工会	Trade Union
地上（下）三层	F3/B3
激光治疗室	Laser Therapy
一楼候车厅	F1 Waiting Room
无烟景区	Smoke-Free Scenic Area
心血管内科/心内科	Internal Medicine—Cardiovasology
往一楼大厅	To F1 Hall
贸易中心	Trade Center
进口调料	Imported Sauces & Condiments
交通安全管理办公室	Traffic Safety Management
冲饮	Instant Drinks
青年山庄服务热线：13380010603	Youth Villa Service Hotline: 13380010603
网格化管理	Grid-based Management
地上（下）二层	F2/B2
口内诊室	Consultation
雕塑公园	Sculpture Park
小蛮腰	Shaping Lady
有电危险	Danger! Electrical Shock!
旅客入口	Passenger Entrance
投币	Insert Coin
2.70	元/公里 2.70 Yuan/km
医学技能培训中心	Medical Skills Training Center
豆制品	Bean Products
洗涤超市	Cleansing Products
正常开放	Open
金融博物馆	Museum of Finance
氧气站	Oxygen Station
步行街	Pedestrian Street
艺术展览	Art Exhibition
119	消防 Fire Emergency: 119
东莞市体育中心	Dongguan Sports Center
民族歌舞	Ethnic Dancing
创作室	Studio
手工艺品	Handicraft
肠道输液室	Enteric Infusion
急诊介入科/介入科诊室	A&E Intervention Clinic
旅游巴士	Tour Bus
无偿献血车	Voluntary Blood Donation Vehicle
小吃店	Snack Bar
建病例窗口	Medical Records
绿道（二期）	Green Trail (Phase II)
120	急救 First Aid Call: 120
楼下/由此下楼/下楼楼梯	Downstairs
投喂区	Feeding Area
烧伤门诊	Burn Clinic
皮服/皮衣	Leatherwear
乙型肝炎门诊	Hepatitis B Clinic
精品男鞋	Men’s Designer Shoes
母婴卫生间	Baby Changing Room
中西药品	Chinese & Western Medicine
进口图书	Imported Books
广州火车站	Guangzhou Railway Station
原有文物建筑	Original Heritage Buildings
血库	Blood Bank
手机	Cellphones
传染病	Infectious Diseases/Communicable Diseases
社区科	Community Medicine
租赁合同	Rental Contract
收费项目/有偿服务项目	Paid Service
足金耳环	24K Gold Earrings
停车场须知	Parking Notice
职业技能室	Occupational Skills Training
小客房	Guestroom
体外碎石机室	ESWL
非吸烟区	Non-Smoking Area
珠宝精品	Exquisite Jewelry
白血病门诊	Leukemia Clinic
太平桶	Fire Bucket
瓷器展览	Porcelain Exhibition
骨科封闭室	Orthopaedic Block Therapy
石制文物	Stone-made Culture Heritage
捏背室	Back Massage
文化	Culture
烧伤整形科	Burn & Plastic Surgery (Dept.)
性病科	STD
汽车客运站	Intercity Bus Terminal
地下停车场	Basement Parking
生活垃圾暂存处	Non-Biohazardous Waste
新华书店	Xinhua Bookstore
二层步行系统图	F2 Pedestrian System Plan
急诊化验室	A&E Laboratory/Lab
糖尿病门诊	Diabetes Clinic
水吧	Bar
阅览部/阅览处/阅览室	Reading Room
羊城通充值	YCT Recharge
起搏器门诊	Cardiac Pacemaker Clinic
停车处	Parking Area
前台/服务台/接待处	Reception
精品女鞋	Women’s Designer Shoes
武器库	Armory
烹饪菜谱	Cookery Books
兰花园	Orchid Garden
卫生监督/卫生监督稽查	Public Sanitation Inspection
针灸室	Acupuncture & Moxibustion
脚病治疗中心	Foot Clinic
售票窗	1-2 Ticket Counter No.1–2
推荐图书	Book Recommendation
母婴健康中心	Maternal and Infant Health Center
注意登船安全	Watch Out When Boarding
美食街	Food Street
庙	Temple
艺术品	Artwork
泌尿科	Urology
特需门诊	VIP Clinic
自动查询机	Self-Search Information
分拨中心	Allocation Center
隧道	Tunnel
陶器	Pottery
视力室	Vision Testing
保卫处	Security Dept.
加油站	Patrol Station
座	Seat
换乘大厅	Transfer Hall
广汕公路	Guangzhou-Shantou Highway
内有救生衣	Life Jacket Inside
绿色代表无人	Green Means Vacant
消防通道	Fire Engine Access
眼科手术室	Ophthalmic Operating
物理	Physics
动态血压室	ABPM
退票处	Ticket Refund
配送中心	Distribution Center
计时停车	Metered Parking/Hourly Parking
安全出口	EXIT
射击场	Shooting Range
收银台/收款台/收费处/结账/收银员	Cashier
门诊手术室	Outpatient Operating
学校卫生所	School Clinic
中医门诊	TCM Clinic
盆底康复治疗室	Pelvic Floor Rehabilitation
音像制品店	Audio Visual Shop
慢性非传染性疾病防治所	Institute for Chronic Non-Communicable Disease Prevention & Control
廊	Corridor
市立中山图书馆旧址	Former Site of Sun Yat-sen Library of Guangdong Province
乘客定额牌	Peak-passenger Capacity
小学教育	Primary School Education
请勿嬉水	地势险峻 Caution: Dangerous Terrain! No Paddling!
疏散通道	Escape Route
泌尿外科门诊	Urologic Surgery Clinic
腹组阅片室	Abdominal Radiology
老人	Elderly
政府采购交易部	Government Procurement & Trading
秦代造船遗址	Ancient Site of Shipbuilding Workshop in Qin Dynasty (221 B.C.–207B.C.)
石桥	Stone Bridge
感觉统合训练室	Sensory Integration Training
水果蔬菜	Fruits & Vegetables
部长室	Office of Head of Department
周围神经和肌肉病门诊	Peripheral Nerve & Muscle Diseases Clinic
青少年活动中心	Youth Activity Center
消化门诊	Gastroenterology Clinic
禁止停留	No Stopping
儿科诊疗室	Pediatric Treatment
展览馆/陈列馆	Exhibition Hall/Exhibition Center
东楼	East
污水处理站（点）	Sewage Disposal
口腔放射科	Radiology
读者服务处	Reader Service
厨房重地，闲人免进	Kitchen Staff Only
地下四层停车场	B4 Parking
网吧	Internet Café
换票处	Ticket-Changing Counter
体育公园	Sports Park
食杂店	Grocery Store
政府采购招标部	Government Procurement Bidding
消防栓/消火栓	Fire Hydrant
艺术博物院	Museum of Art
一楼双号侧区	Stall Even Numbers
员工通道	Staff Only
书画展览	Painting and Calligraphy Exhibition
乘客止步	Staff Only
更年期门诊	Menopause Clinic
仲裁员	Arbitrator
孕妇学校	Prenatal Classes
更多资讯请扫描左侧二维码。	Scan left QR Code for more information.
运营部	Operations Department
膀胱镜检查室	Cystoscopy
提示：你已进入录像区域	CCTV Surveillance
儿童常见病	Common Pediatric Diseases
干洗店	Laundry
儿科输液室	Pediatric Intravenous Transfusion
中医消化门诊	TCM Gastroenterology Clinic
口腔科专家门诊	Dental Specialist Clinic
洗衣机	Washing Machine
区级文物保护单位	District Level Cultural Heritage Site
狩猎区	Hunting Area
营养与食品卫生所	Institute for Nutrition & Food Hygiene
纪念品销售部/旅游纪念品商店	Souvenir Shop
美食广场	Gourmet Food Square
足金耳钉	24K Gold Ear Studs
美食城	Food Court
评估室	Evaluation
散装食品	Bulk Food Items
视野验光室	Perimetry Optometry
化学试剂	Chemical Reagents
女士休闲服装	Women’s Casual Wear
名烟名酒	Brand Cigarettes & Liquor
名品家俱	Designer Furniture
配货区	Distribution Area
策划部	Planning Department
团委	Youth League Committee
废纸回收	Paper Recycling
肛肠外科门诊	Anorectal Surgery Clinic
小型车道	Light-duty Vehicles Lane
第二仲裁庭	The 2nd Court of Arbitration
填写区	Writing Area
产科病房	Obstetric Ward
千足金手链	99.9% Gold Bracelet
茶室	Tea House
禁运物品	Prohibited Articles
配血室	Blood Matching
睡眠障碍门诊	Sleep Disorder Clinic
风味小吃	Local Delicacies
请保持地方整洁	Please Keep This Area Clean
口腔科治疗修复室	Treatment & Prosthetics
高贵女装	Women’s Designer Clothing
政治	Politics
儿童阅览室	Children’s Reading Room
大厦	Tower
经颅磁刺激治疗室	TMS Treatment
供血科	Blood Distribution
血管瘤、化疗注射室（化疗注射室）	Hemangioma & Chemotherapy Injection
候船室	Waiting Room
会员售票处	Membership Tickets
乘梯须知	Elevator Safety Instruction
爱护森林	请勿吸烟 No Smoking in Woods
（普通）分诊台/门诊接待室	Reception
旅游商品	Souvenirs & Gifts
开放时间：6:30-22:30	Opening Hours: 6:30-22:30
制剂室	Preparation
药检室	Drug Control
卫生监督执法信息中心	Public Sanitation Inspection & Law Enforcement Information Center
精品男装	Men’s Designer Clothing
口腔科正畸修复室	Orthodontics & Prosthetics
门诊病案室	Outpatient Medical Records
叶剑英商议讨逆旧址	The Historical Site of Marshal Ye Jianying Conferring on an Expedition against Warlord
白云山北门	North Gate of Baiyunshan Scenic Area
行人交通索引	Pedestrian Guide/Transit Guide
医学	Medical Science
外科病房	Surgery Ward
优惠价格	Discount Price
绿道驿站	Green Trail Station
候车厅	Waiting Hall/Waiting Lounge
病案统计科	Medical Records & Statistics
千足金项链	99.9% Gold Necklace
时刻表	Schedule/Timetable
精选超市	Premium Supermarket
一楼检票口	F1 Ticket Checkpoint
基础	Basics
动态心电图	Dynamic ECG
省际道路旅客运输站	Inter-Province Passenger Service Station
音响影院	Home Theater
男裤衬衫	Men’s Pants & Shirts
口腔科/牙科	Stomatology
妇用羊绒采购部	Women’s Cashmere Purchase
机舱重地	严禁进入 Staff Only
手工训练室	Handwork Training
免疫门诊	Immunology Clinic
快车道	Fast Lane
楼层索引	Building Directory
儿童服饰及用品	Children’s Wear and Accessories
帕金森病门诊	Parkinson’s Disease Clinic
行人绕行	Pedestrian Detour
查体中心	Regular Physical Examination Center
咨询服务中心	Information Center
故居	Former Residence
办理业务，请先取号	Please Take a Number and Wait for Your Turn
导游处	Guide Service
游泳池	Swimming Pool
油画	Oil Paintings
面包糕点	Bread & Cakes
爱护自然环境	请勿乱扔垃圾 Please Do Not Litter. Keep Our Environment Clean!
候诊区	Waiting Area
乘客请勿擅自开闸门	Please Do Not Open Gate
功能训练室	Functional Training
厨余垃圾	Kitchen Waste
服装出租处	Costume Rental Service
森林浴	Forest Spa
血液中心	Blood Supply Center
发血室	Blood Pickup
进站（口）	ENTRANCE
古文化遗址	Historical Cultural Site
电气室	Power Supply Room
口腔科门诊	Stomatology Clinic
皮肤性病科	Dermatology & STD
贸易	Trade
西楼	West
步行栈道	Footpath
幼儿教育	Preschool Education
耳鼻咽喉头颈外科	ENT & HN Surgery
人工授精手术室	Artificial Insemination Operating
硬路肩	Hard Shoulder
中药研究室	TCM Research
超车道	Overtaking Lane
总参议室	Principal Consultation Office
交通运输	Transportation
康复阅览室	Rehabilitation Reading Room
免费开放	Free Admission
多媒体视听室	Multimedia Room
探视入口	Visitor Entrance
噪音有害	CAUTION! Noise!
馆长办公室	Manager
液相色谱室	HPLC
终点站	Arrival Station
配送室	Material Distribution
男士体育服务部	Men’s Sports Product Service
新生儿门诊	Neonatal Clinic
一路	1 Lu
游憩活动分区示意图	Recreational Activities Map
猴岛	Monkey Island
预防接种室	Prophylactic Vaccination
外科（急诊）分诊处/（急诊）分诊台	Triage
农业	Agriculture
物理运动疗法室	PT
第一通道	Passway 1
舞蹈	Dance
胸组阅片室	Thoracic Radiology
一巷	1 Xiang
